latitude,longitude,psc,uarfcn
9.9776225,105.8238917,260,10612
9.9776188,105.8238956,260,10612
9.9776105,105.8239045,260,10587
9.977564,105.8239537,260,10587
9.9775049,105.8240123,260,10587
9.9774219,105.8240877,260,10587
9.9773331,105.8241695,260,10612
9.9772431,105.8242507,260,10612
9.9771454,105.8243424,260,10587
9.977043,105.8244437,260,10587
9.9769446,105.8245493,260,10612
9.9768564,105.8246649,260,10587
9.9767839,105.8247912,260,10587
9.976745,105.8249227,260,10587
9.976745,105.8250493,260,10587
9.976745,105.8251649,260,10587
9.9767388,105.8252719,260,10587
9.9766804,105.8253726,260,10612
9.9765856,105.8254673,260,10612
9.9764734,105.8255757,260,10612
9.9763498,105.8256952,260,10612
9.9762261,105.8258156,260,10587
9.9760961,105.8259392,260,10587
9.9759605,105.8260671,260,10587
9.9758217,105.8262033,260,10587
9.975675,105.826345,260,10612
9.9755228,105.8264952,260,10587
9.9753673,105.8266513,260,10612
9.9752111,105.826807,480,10612
9.9750583,105.8269606,260,10612
9.9749102,105.8271191,260,10587
9.974761,105.827295,480,10562
9.974614,105.8274907,260,10612
9.9744629,105.8276963,260,10612
9.9743263,105.8278891,260,10612
9.9742006,105.8280652,480,10562
9.9740822,105.8282287,480,10587
9.973976,105.8283803,252,10587
9.9738713,105.8285313,252,10612
9.9737588,105.8286839,286,10612
9.973638,105.828846,286,10587
9.9735162,105.829015,252,10587
9.9733917,105.8291935,286,10587
9.973259,105.8293805,252,10587
9.9731251,105.8295666,252,10612
9.9729976,105.8297473,480,10562
9.9728849,105.8299077,286,10587
9.9727923,105.83004,286,10587
9.9727041,105.8301677,480,10587
9.9726127,105.8303077,480,10587
9.9725103,105.8304563,464,10587
9.9723997,105.8306095,464,10587
9.9722864,105.8307657,286,10587
9.9721715,105.830926,464,10587
9.9720584,105.8310853,464,10612
9.9719489,105.83124,464,10562
9.9718447,105.8313875,464,10612
9.9717431,105.8315279,464,10612
9.9716392,105.8316701,464,10562
9.9715368,105.8318138,464,10612
9.9714251,105.8319665,464,10612
9.9713086,105.8321245,464,10562
9.9711902,105.8322868,464,10562
9.9710711,105.8324455,464,10612
9.9709525,105.8325927,464,10612
9.9708312,105.8327339,464,10562
9.97072,105.8328564,464,10562
9.9705794,105.8330043,464,10587
9.9704438,105.833137,464,10562
9.9703101,105.8332611,464,10562
9.9701776,105.8333789,464,10562
9.9700415,105.8334968,464,10612
9.9699027,105.8336175,286,10587
9.9697582,105.8337419,464,10587
9.969615,105.8338642,286,10587
9.9694712,105.833989,286,10587
9.9693291,105.8341124,286,10612
9.9691945,105.8342263,286,10587
9.9690659,105.8343331,286,10587
9.9689451,105.8344319,286,10587
9.9688311,105.8345254,286,10587
9.9687218,105.8346162,286,10587
9.9686178,105.8347038,286,10612
9.9685125,105.8347975,286,10587
9.9684061,105.8348942,286,10587
9.9682941,105.8349937,286,10587
9.9681814,105.8350937,286,10587
9.9680648,105.8351951,286,10587
9.9679365,105.835306,286,10587
9.9678071,105.8354208,286,10587
9.9676773,105.8355374,286,10612
9.9675457,105.8356538,286,10587
9.9674163,105.8357674,286,10587
9.9672889,105.8358775,286,10587
9.9671532,105.8359938,286,10587
9.9670204,105.8361077,286,10587
9.9668882,105.8362245,286,10587
9.9667537,105.836344,286,10612
9.9666125,105.8364682,286,10612
9.9664703,105.8365956,286,10612
9.9663373,105.8367137,286,10612
9.9662053,105.8368301,286,10612
9.9660705,105.8369449,286,10612
9.9659348,105.8370629,286,10612
9.9657947,105.8371852,286,10612
9.9656566,105.8373037,286,10587
9.9655159,105.837427,286,10587
9.965374,105.8375523,286,10587
9.9652287,105.8376778,286,10587
9.965084,105.8378036,286,10587
9.9649483,105.8379219,286,10587
9.9648155,105.8380351,286,10587
9.9646865,105.8381479,286,10587
9.9645559,105.8382634,286,10587
9.9644263,105.8383786,286,10587
9.9642998,105.8384898,286,10587
9.9641751,105.8385973,286,10612
9.9640528,105.8387033,286,10587
9.9639282,105.8388125,38,10612
9.9637964,105.8389315,30,10587
9.9636671,105.839048,286,10587
9.9635328,105.8391686,286,10587
9.9634009,105.8392841,472,10587
9.9632665,105.8394003,472,10587
9.9631294,105.8395201,472,10587
9.9629948,105.8396376,286,10612
9.962855,105.8397576,286,10612
9.9627131,105.8398795,286,10587
9.9625697,105.8400077,286,10587
9.962426,105.8401378,286,10587
9.9622837,105.8402653,286,10587
9.9621384,105.8403924,286,10587
9.9619884,105.8405206,286,10587
9.961845,105.8406459,415,10562
9.9617073,105.8407669,415,10562
9.9615771,105.8408792,415,10562
9.9614486,105.8409914,415,10562
9.9613182,105.8411051,415,10562
9.9611883,105.8412168,278,10587
9.9610541,105.8413325,278,10587
9.9609168,105.8414516,278,10612
9.9607786,105.8415709,278,10612
9.9606331,105.8416959,278,10587
9.9604908,105.8418222,278,10587
9.9603483,105.8419517,278,10587
9.9602088,105.8420744,278,10587
9.9600678,105.8421935,278,10587
9.9599269,105.8423135,278,10587
9.95979,105.8424348,278,10612
9.9596597,105.8425477,278,10612
9.9595353,105.8426562,278,10612
9.9594096,105.8427667,278,10587
9.959281,105.8428759,278,10587
9.9591548,105.8429867,415,10562
9.9590243,105.8431004,278,10612
9.9588952,105.843211,278,10587
9.9587631,105.8433268,278,10587
9.9586335,105.8434429,278,10587
9.9585049,105.8435551,278,10587
9.9583751,105.8436691,278,10587
9.95825,105.8437799,278,10612
9.9581222,105.8438932,278,10612
9.9579933,105.8440066,278,10587
9.957861,105.8441204,278,10612
9.957728,105.844236,278,10587
9.9575941,105.8443544,278,10587
9.9574576,105.8444717,278,10587
9.9573183,105.8445905,278,10587
9.9571938,105.8447,278,10587
9.9570866,105.8447962,278,10587
9.9569976,105.8448729,278,10587
9.9569088,105.8449489,278,10587
9.9568081,105.8450381,278,10587
9.9566969,105.8451358,278,10587
9.9565829,105.8452371,278,10587
9.9564546,105.8453487,278,10587
9.956316,105.84547,415,10562
9.9561677,105.8455977,278,10587
9.9560176,105.8457303,278,10587
9.9558687,105.8458619,278,10587
9.9557182,105.8459915,278,10587
9.9555611,105.8461254,415,10562
9.9554133,105.8462522,415,10562
9.9552814,105.8463682,415,10562
9.9551498,105.8464818,415,10562
9.9550121,105.846603,415,10587
9.954868,105.8467278,415,10562
9.9547203,105.8468556,415,10612
9.9545715,105.8469869,278,10587
9.9544187,105.8471185,278,10587
9.9542667,105.847249,415,10587
9.9541177,105.8473812,415,10587
9.9539727,105.8475155,415,10587
9.9538325,105.8476535,278,10587
9.9537023,105.8477938,278,10612
9.9535843,105.8479372,278,10612
9.953467,105.8480873,278,10587
9.953351,105.848233,415,10562
9.9532419,105.8483774,415,10612
9.9531345,105.8485236,278,10612
9.9530255,105.8486716,415,10562
9.9529165,105.848819,480,10562
9.9528036,105.848972,480,10562
9.9526898,105.8491228,480,10562
9.9525759,105.8492721,415,10587
9.9524654,105.8494189,415,10562
9.9523537,105.8495699,415,10562
9.9522444,105.8497197,480,10562
